,Date,Wards,Temperature
0,2019-01,A Narayanapura,28.37741935483871
1,2019-02,A Narayanapura,32.77142857142857
2,2019-03,A Narayanapura,36.877419354838715
3,2019-04,A Narayanapura,36.68333333333333
4,2019-05,A Narayanapura,33.00645161290323
5,2019-06,A Narayanapura,31.006666666666668
6,2019-07,A Narayanapura,31.26451612903226
7,2019-08,A Narayanapura,28.387096774193548
8,2019-09,A Narayanapura,29.833333333333332
9,2019-10,A Narayanapura,27.825806451612905
10,2019-11,A Narayanapura,27.833333333333332
11,2019-12,A Narayanapura,25.783870967741933
12,2022-01,A Narayanapura,26.996774193548386
13,2022-02,A Narayanapura,30.135714285714283
14,2022-03,A Narayanapura,32.24193548387097
15,2022-04,A Narayanapura,35.10333333333333
16,2022-05,A Narayanapura,29.51290322580645
17,2022-06,A Narayanapura,28.43
18,2022-07,A Narayanapura,27.070967741935487
19,2022-08,A Narayanapura,29.674193548387095
20,2022-09,A Narayanapura,29.756666666666664
21,2022-10,A Narayanapura,31.194736842105264
22,2022-11,A Narayanapura,24.43
23,2022-12,A Narayanapura,25.067741935483873
24,2019-01,AECS Layout,28.029032258064515
25,2019-02,AECS Layout,32.31071428571429
26,2019-03,AECS Layout,36.54516129032258
27,2019-04,AECS Layout,36.18
28,2019-05,AECS Layout,32.75806451612903
29,2019-06,AECS Layout,31.013333333333332
30,2019-07,AECS Layout,31.148387096774194
31,2019-08,AECS Layout,28.477419354838712
32,2019-09,AECS Layout,29.889999999999997
33,2019-10,AECS Layout,27.58709677419355
34,2019-11,AECS Layout,27.523333333333333
35,2019-12,AECS Layout,25.583870967741937
36,2022-01,AECS Layout,26.77741935483871
37,2022-02,AECS Layout,29.650000000000002
38,2022-03,AECS Layout,31.883870967741935
39,2022-04,AECS Layout,35.22666666666667
40,2022-05,AECS Layout,29.54516129032258
41,2022-06,AECS Layout,28.14333333333333
42,2022-07,AECS Layout,27.029032258064515
43,2022-08,AECS Layout,29.66774193548387
44,2022-09,AECS Layout,29.773333333333333
45,2022-10,AECS Layout,31.152631578947368
46,2022-11,AECS Layout,23.873333333333335
47,2022-12,AECS Layout,24.89032258064516
48,2019-01,Adugodi,28.438709677419357
49,2019-02,Adugodi,32.54642857142857
50,2019-03,Adugodi,36.42580645161291
51,2019-04,Adugodi,36.623333333333335
52,2019-05,Adugodi,33.05806451612903
53,2019-06,Adugodi,30.77
54,2019-07,Adugodi,31.06451612903226
55,2019-08,Adugodi,28.54193548387097
56,2019-09,Adugodi,30.036666666666665
57,2019-10,Adugodi,28.116129032258065
58,2019-11,Adugodi,27.970000000000002
59,2019-12,Adugodi,26.06451612903226
60,2022-01,Adugodi,27.506451612903227
61,2022-02,Adugodi,30.467857142857145
62,2022-03,Adugodi,31.706451612903226
63,2022-04,Adugodi,34.986666666666665
64,2022-05,Adugodi,29.603225806451615
65,2022-06,Adugodi,28.363333333333333
66,2022-07,Adugodi,27.016129032258064
67,2022-08,Adugodi,29.638709677419353
68,2022-09,Adugodi,29.896666666666665
69,2022-10,Adugodi,31.42105263157895
70,2022-11,Adugodi,24.683333333333334
71,2022-12,Adugodi,25.596774193548388
72,2019-01,Agara,28.625806451612902
73,2019-02,Agara,32.56071428571429
74,2019-03,Agara,36.1741935483871
75,2019-04,Agara,36.593333333333334
76,2019-05,Agara,32.86451612903225
77,2019-06,Agara,31.17
78,2019-07,Agara,31.045161290322582
79,2019-08,Agara,28.406451612903226
80,2019-09,Agara,29.959999999999997
81,2019-10,Agara,27.793548387096774
82,2019-11,Agara,28.243333333333332
83,2019-12,Agara,25.88064516129032
84,2022-01,Agara,27.048387096774192
85,2022-02,Agara,30.185714285714287
86,2022-03,Agara,32.34838709677419
87,2022-04,Agara,35.11666666666667
88,2022-05,Agara,29.74516129032258
89,2022-06,Agara,28.396666666666665
90,2022-07,Agara,26.90967741935484
91,2022-08,Agara,29.748387096774195
92,2022-09,Agara,29.986666666666668
93,2022-10,Agara,31.3
94,2022-11,Agara,24.92
95,2022-12,Agara,25.451612903225808
96,2019-01,Agaram,28.05483870967742
97,2019-02,Agaram,31.935714285714287
98,2019-03,Agaram,35.71935483870968
99,2019-04,Agaram,35.85333333333333
100,2019-05,Agaram,32.303225806451614
101,2019-06,Agaram,30.716666666666665
102,2019-07,Agaram,31.06451612903226
103,2019-08,Agaram,28.54193548387097
104,2019-09,Agaram,29.746666666666666
105,2019-10,Agaram,27.825806451612905
106,2019-11,Agaram,27.529999999999998
107,2019-12,Agaram,25.61935483870968
108,2022-01,Agaram,26.393548387096775
109,2022-02,Agaram,29.735714285714288
110,2022-03,Agaram,31.37741935483871
111,2022-04,Agaram,34.45
112,2022-05,Agaram,29.190322580645162
113,2022-06,Agaram,27.9
114,2022-07,Agaram,26.96451612903226
115,2022-08,Agaram,29.603225806451615
116,2022-09,Agaram,29.436666666666667
117,2022-10,Agaram,31.063157894736843
118,2022-11,Agaram,24.413333333333334
119,2022-12,Agaram,25.416129032258063
120,2019-01,Agrahara Dasarahalli,29.212903225806453
121,2019-02,Agrahara Dasarahalli,33.410714285714285
122,2019-03,Agrahara Dasarahalli,37.18387096774194
123,2019-04,Agrahara Dasarahalli,37.54
124,2019-05,Agrahara Dasarahalli,33.932258064516134
125,2019-06,Agrahara Dasarahalli,30.866666666666667
126,2019-07,Agrahara Dasarahalli,31.261290322580646
127,2019-08,Agrahara Dasarahalli,28.54193548387097
128,2019-09,Agrahara Dasarahalli,30.06
129,2019-10,Agrahara Dasarahalli,28.299999999999997
130,2019-11,Agrahara Dasarahalli,28.46333333333333
131,2019-12,Agrahara Dasarahalli,26.154838709677417
132,2022-01,Agrahara Dasarahalli,28.23225806451613
133,2022-02,Agrahara Dasarahalli,31.075
134,2022-03,Agrahara Dasarahalli,32.94516129032258
135,2022-04,Agrahara Dasarahalli,35.3
136,2022-05,Agrahara Dasarahalli,30.019354838709678
137,2022-06,Agrahara Dasarahalli,28.973333333333333
138,2022-07,Agrahara Dasarahalli,27.12258064516129
139,2022-08,Agrahara Dasarahalli,29.66774193548387
140,2022-09,Agrahara Dasarahalli,29.696666666666665
141,2022-10,Agrahara Dasarahalli,31.531578947368423
142,2022-11,Agrahara Dasarahalli,25.09
143,2022-12,Agrahara Dasarahalli,26.26451612903226
144,2019-01,Amrutahalli,28.112903225806452
145,2019-02,Amrutahalli,32.542857142857144
146,2019-03,Amrutahalli,36.541935483870965
147,2019-04,Amrutahalli,36.830000000000005
148,2019-05,Amrutahalli,33.141935483870974
149,2019-06,Amrutahalli,31.279999999999998
150,2019-07,Amrutahalli,31.116129032258065
151,2019-08,Amrutahalli,28.506451612903227
152,2019-09,Amrutahalli,29.95
153,2019-10,Amrutahalli,27.9741935483871
154,2019-11,Amrutahalli,27.636666666666667
155,2019-12,Amrutahalli,25.72258064516129
156,2022-01,Amrutahalli,26.825806451612905
157,2022-02,Amrutahalli,29.79642857142857
158,2022-03,Amrutahalli,31.729032258064517
159,2022-04,Amrutahalli,34.66
160,2022-05,Amrutahalli,29.26451612903226
161,2022-06,Amrutahalli,28.21333333333333
162,2022-07,Amrutahalli,27.067741935483873
163,2022-08,Amrutahalli,29.64516129032258
164,2022-09,Amrutahalli,29.66
165,2022-10,Amrutahalli,30.76842105263158
166,2022-11,Amrutahalli,24.46333333333333
167,2022-12,Amrutahalli,25.13225806451613
168,2019-01,Anjanapura,29.283870967741933
169,2019-02,Anjanapura,33.76428571428571
170,2019-03,Anjanapura,38.190322580645166
171,2019-04,Anjanapura,37.79333333333333
172,2019-05,Anjanapura,32.645161290322584
173,2019-06,Anjanapura,31.043333333333337
174,2019-07,Anjanapura,31.06451612903226
175,2019-08,Anjanapura,28.406451612903226
176,2019-09,Anjanapura,29.85333333333333
177,2019-10,Anjanapura,27.651612903225807
178,2019-11,Anjanapura,27.896666666666665
179,2019-12,Anjanapura,26.238709677419354
180,2022-01,Anjanapura,27.016129032258064
181,2022-02,Anjanapura,30.460714285714285
182,2022-03,Anjanapura,32.961290322580645
183,2022-04,Anjanapura,34.059999999999995
184,2022-05,Anjanapura,29.125806451612902
185,2022-06,Anjanapura,28.083333333333332
186,2022-07,Anjanapura,26.993548387096773
187,2022-08,Anjanapura,29.5258064516129
188,2022-09,Anjanapura,29.65
189,2022-10,Anjanapura,30.86842105263158
190,2022-11,Anjanapura,24.48
191,2022-12,Anjanapura,25.593548387096774
192,2019-01,Arakere,28.274193548387096
193,2019-02,Arakere,32.635714285714286
194,2019-03,Arakere,36.593548387096774
195,2019-04,Arakere,36.88666666666666
196,2019-05,Arakere,32.83870967741935
197,2019-06,Arakere,30.916666666666668
198,2019-07,Arakere,31.045161290322582
199,2019-08,Arakere,28.406451612903226
200,2019-09,Arakere,29.916666666666668
201,2019-10,Arakere,27.893548387096775
202,2019-11,Arakere,28.03666666666667
203,2019-12,Arakere,25.799999999999997
204,2022-01,Arakere,27.1
205,2022-02,Arakere,30.04642857142857
206,2022-03,Arakere,32.329032258064515
207,2022-04,Arakere,34.656666666666666
208,2022-05,Arakere,29.616129032258065
209,2022-06,Arakere,28.146666666666665
210,2022-07,Arakere,26.993548387096773
211,2022-08,Arakere,29.706451612903226
212,2022-09,Arakere,29.763333333333332
213,2022-10,Arakere,31.23157894736842
214,2022-11,Arakere,24.613333333333333
215,2022-12,Arakere,25.193548387096776
216,2019-01,Aramane Nagara,28.116129032258065
217,2019-02,Aramane Nagara,32.42142857142857
218,2019-03,Aramane Nagara,35.92258064516129
219,2019-04,Aramane Nagara,36.263333333333335
220,2019-05,Aramane Nagara,32.748387096774195
221,2019-06,Aramane Nagara,31.086666666666666
222,2019-07,Aramane Nagara,31.15483870967742
223,2019-08,Aramane Nagara,28.4
224,2019-09,Aramane Nagara,29.876666666666665
225,2019-10,Aramane Nagara,27.822580645161292
226,2019-11,Aramane Nagara,27.863333333333333
227,2019-12,Aramane Nagara,25.761290322580646
228,2022-01,Aramane Nagara,26.94516129032258
229,2022-02,Aramane Nagara,29.767857142857142
230,2022-03,Aramane Nagara,31.89032258064516
231,2022-04,Aramane Nagara,34.413333333333334
232,2022-05,Aramane Nagara,29.345161290322583
233,2022-06,Aramane Nagara,28.386666666666667
234,2022-07,Aramane Nagara,27.006451612903227
235,2022-08,Aramane Nagara,29.60967741935484
236,2022-09,Aramane Nagara,29.576666666666664
237,2022-10,Aramane Nagara,30.910526315789472
238,2022-11,Aramane Nagara,24.933333333333334
239,2022-12,Aramane Nagara,25.322580645161292
240,2019-01,Ashoka Pillar,28.18064516129032
241,2019-02,Ashoka Pillar,32.225
242,2019-03,Ashoka Pillar,35.90967741935484
243,2019-04,Ashoka Pillar,36.36333333333334
244,2019-05,Ashoka Pillar,33.0258064516129
245,2019-06,Ashoka Pillar,30.51
246,2019-07,Ashoka Pillar,31.090322580645164
247,2019-08,Ashoka Pillar,28.54193548387097
248,2019-09,Ashoka Pillar,29.98
249,2019-10,Ashoka Pillar,28.241935483870968
250,2019-11,Ashoka Pillar,27.793333333333333
251,2019-12,Ashoka Pillar,26.06451612903226
